PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K
Midlands ,516,467,6,43,1614941,7,Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,31.9516316695161,0.371530600808327
Manicaland,364,306,18,40,1752698,3,Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,20.7679817059185,1.02698810633663
Mashonaland Central,136,75,3,58,1152520,4,Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,11.8002290632701,0.26029917051331
Masvingo,187,171,2,14,1485090,8,Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,12.5918294514137,0.134671972742393
Mashonaland East,342,278,3,61,1344955,5,Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,25.4283600566562,0.223055789970668
Harare,2498,1962,103,433,2123132,2,Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,117.656368044945,4.85132342218948
Matebeleland South,632,436,4,192,683893,10,Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,92.4121171001896,0.584886817089808
Bulawayo,1260,1140,29,91,1200676,1,Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,104.940883302406,2.41530604426173
Matebeleland North,105,83,3,19,749017,9,Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,14.0183734147556,0.400524954707303
Mashonaland West,211,83,8,120,1501656,6,Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,14.0511541924382,0.532745182651686
