PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor,recent_cases,recent_deaths,recent_recoveries
Matebeleland North,"1016","533","9","474","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,131.772710098703,0.934558227650374,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Matebeleland South,"1963","1830","12","121","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,285.278545035554,1.75466045126942,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Midlands ,"1941","1317","33","591","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,115.422173317787,1.73380947043886,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Mashonaland Central,"1322","920","41","361","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,98.6533856245445,2.42945892479089,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Masvingo,"1746","1346","45","355","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,112.787777171754,2.76077544121905,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Mashonaland East,"1970","913","53","1004","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,137.551070481912,3.42018877955025,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Mashonaland West,"1439","788","68","583","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,82.5089101631798,3.46284368723596,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Manicaland,"2628","1224","121","1283","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,142.580182096402,6.04781884842683,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Bulawayo,"4388","3660","155","573","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,360.546891917553,12.4929622979055,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
Harare,"10262","5579","288","4395","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,455.553399411812,11.4453552581752,2020/10/12 11:40:20,surveyor_jr,2021/01/19 22:57:58,surveyor_jr,,,
