PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Matebeleland North,"459","341","3","115","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,61.2803180702174,0.400524954707303,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Mashonaland Central,"262","233","5","24","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,22.7327942248291,0.433831950855517,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Mashonaland East,"573","516","5","52","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,42.6036558843976,0.371759649951114,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Masvingo,"350","306","8","36","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,23.5675952299187,0.538687890969571,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Matebeleland South,"1169","959","9","201","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,170.933172294496,1.31599533845207,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Midlands ,"912","809","10","93","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,56.4726513228657,0.619217668013878,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Mashonaland West,"537","339","12","186","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,35.7605203854944,0.799117773977529,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Manicaland,"610","555","29","26","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,34.8034858258525,1.54048215950495,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Bulawayo,"2792","2122","84","586","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,232.535671571681,6.91277247150772,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
Harare,"3498","3144","141","213","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,164.756595444843,6.17012978938662,2020/10/12 11:40:20,surveyor_jr,2020/12/11 20:29:44,surveyor_jr
