PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Bulawayo,"1609","1442","51","116","1200676","1",Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,134.007842248866,4.24760718128787,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Harare,"3304","3143","121","40","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,155.619151329263,5.69912751538764,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Manicaland,"518","460","22","36","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,29.5544355045764,1.25520768552255,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Mashonaland Central,"208","202","4","2","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,18.0474091555895,0.347065560684413,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Mashonaland East,"413","406","4","3","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,30.707347085962,0.297407719960891,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Mashonaland West,"351","317","12","22","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,23.3741948888427,0.799117773977529,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Midlands ,"669","643","9","17","1614941","7",Midlands,ZWE,29.4623281940001,-18.982455676,540d98b2-0def-430b-b890-0e8f465c17aa,41.4256619901284,0.55729590121249,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Masvingo,"239","234","2","3","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,16.0933007427159,0.134671972742393,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Matebeleland North,"142","138","3","1","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,18.958181189479,0.400524954707303,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
Matebeleland South,"804","786","8","10","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,117.562250235051,1.16977363417962,2020/10/12,surveyor_jr,2020/10/23,surveyor_jr
